"filename", "language", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"/Users/korso/Documents/cursor/rpgate/.serena/memories/code_structure.md", "Markdown", 0, -11, 0, 0, -2, -13
"/Users/korso/Documents/cursor/rpgate/.serena/memories/darwin_util_commands.md", "Markdown", 0, -14, 0, 0, -4, -18
"/Users/korso/Documents/cursor/rpgate/.serena/memories/project_overview.md", "Markdown", 0, -8, 0, 0, -2, -10
"/Users/korso/Documents/cursor/rpgate/.serena/memories/style_and_conventions.md", "Markdown", 0, -16, 0, 0, -2, -18
"/Users/korso/Documents/cursor/rpgate/.serena/memories/suggested_commands.md", "Markdown", 0, -19, 0, 0, -7, -26
"/Users/korso/Documents/cursor/rpgate/.serena/memories/task_completion_checklist.md", "Markdown", 0, -8, 0, 0, -1, -9
"/Users/korso/Documents/cursor/rpgate/.serena/memories/tech_stack.md", "Markdown", 0, -12, 0, 0, -2, -14
"/Users/korso/Documents/cursor/rpgate/.serena/project.yml", "YAML", 0, 0, -7, -55, -6, -68
"/Users/korso/Documents/cursor/rpgate/lib/knowledge/entity-utils.ts", "TypeScript", 113, 0, 0, 45, 33, 191
"/Users/korso/Documents/cursor/rpgate/lib/knowledge/world-persistence.ts", "TypeScript", 246, 0, 0, 40, 41, 327
"Total", "-", 359, -88, -7, 30, 48, 342
